,hiduke,jikoku_code,power
17452,2019-01-08,29,18910.076465988594
17453,2019-01-08,30,18923.961002372394
17454,2019-01-08,31,18923.961002372394
17455,2019-01-08,32,18923.961002372394
17456,2019-01-08,33,19245.530544794372
17457,2019-01-08,34,19245.530544794372
17458,2019-01-08,35,20525.32223940156
17459,2019-01-08,36,20525.32223940156
17460,2019-01-08,37,20855.035354283384
17461,2019-01-08,38,20855.035354283384
17462,2019-01-08,39,21064.815107992476
17463,2019-01-08,40,21064.815107992476
17464,2019-01-08,41,20398.98821776137
17465,2019-01-08,42,20360.357756065794
17466,2019-01-08,43,19432.70898935006
17467,2019-01-08,44,19432.70898935006
17468,2019-01-08,45,18363.141482163912
17469,2019-01-08,46,18177.772502084943
17470,2019-01-08,47,17191.025194997335
17471,2019-01-08,48,17191.025194997335
17472,2019-01-09,1,15656.186199813768
17473,2019-01-09,2,15656.186199813768
17474,2019-01-09,3,14922.646853920822
17475,2019-01-09,4,14922.646853920822
17476,2019-01-09,5,14997.608939524367
17477,2019-01-09,6,14997.608939524367
17478,2019-01-09,7,14631.480452947097
17479,2019-01-09,8,14631.480452947097
17480,2019-01-09,9,14498.039688227573
17481,2019-01-09,10,14498.039688227573
17482,2019-01-09,11,14778.581864335853
17483,2019-01-09,12,14806.075357835269
17484,2019-01-09,13,17049.008237954156
17485,2019-01-09,14,17049.008237954156
17486,2019-01-09,15,18264.130469874886
17487,2019-01-09,16,18436.974556910278
17488,2019-01-09,17,19734.176426101953
17489,2019-01-09,18,19734.176426101953
17490,2019-01-09,19,20219.85007856657
17491,2019-01-09,20,20219.85007856657
17492,2019-01-09,21,19734.72009570896
17493,2019-01-09,22,19734.72009570896
17494,2019-01-09,23,19650.218016289167
17495,2019-01-09,24,19650.218016289167
17496,2019-01-09,25,19239.39041017827
17497,2019-01-09,26,19239.39041017827
17498,2019-01-09,27,19299.530026551896
17499,2019-01-09,28,19299.530026551896
17500,2019-01-09,29,19268.2314665832
17501,2019-01-09,30,19268.2314665832
17502,2019-01-09,31,19348.324121366917
17503,2019-01-09,32,19348.324121366917
17504,2019-01-09,33,20033.455527321876
17505,2019-01-09,34,20033.455527321876
17506,2019-01-09,35,20977.724724555184
17507,2019-01-09,36,20977.724724555184
17508,2019-01-09,37,21841.843168892934
17509,2019-01-09,38,21841.843168892934
17510,2019-01-09,39,21642.341568108863
17511,2019-01-09,40,21597.951628323764
17512,2019-01-09,41,21459.0862237242
17513,2019-01-09,42,21459.0862237242
17514,2019-01-09,43,20568.59076489248
17515,2019-01-09,44,20568.59076489248
17516,2019-01-09,45,19369.02530202121
17517,2019-01-09,46,19369.02530202121
17518,2019-01-09,47,18107.79337186446
17519,2019-01-09,48,18107.79337186446
17520,2019-01-10,1,16339.569526950374
17521,2019-01-10,2,16339.569526950374
17522,2019-01-10,3,15484.327961140036
17523,2019-01-10,4,15484.327961140036
17524,2019-01-10,5,15968.66076405461
17525,2019-01-10,6,15968.66076405461
17526,2019-01-10,7,15910.85583452802
17527,2019-01-10,8,15910.85583452802
17528,2019-01-10,9,15910.85583452802
17529,2019-01-10,10,15910.85583452802
17530,2019-01-10,11,16446.735518587207
17531,2019-01-10,12,16446.735518587207
17532,2019-01-10,13,19765.8663056249
17533,2019-01-10,14,19765.8663056249
17534,2019-01-10,15,19767.239531786687
17535,2019-01-10,16,19767.239531786687
17536,2019-01-10,17,21285.102244975045
17537,2019-01-10,18,21285.102244975045
17538,2019-01-10,19,21927.506790866824
17539,2019-01-10,20,21936.766925573775
17540,2019-01-10,21,21146.372800321704
17541,2019-01-10,22,21146.372800321704
17542,2019-01-10,23,20862.287553770144
17543,2019-01-10,24,20862.287553770144
17544,2019-01-10,25,20374.899563404913
17545,2019-01-10,26,20374.899563404913
17546,2019-01-10,27,20772.64408338184
17547,2019-01-10,28,20772.64408338184
17548,2019-01-10,29,20786.73637192773
17549,2019-01-10,30,20786.73637192773
17550,2019-01-10,31,20191.840922628813
17551,2019-01-10,32,20191.840922628813
17552,2019-01-10,33,21148.03816334141
17553,2019-01-10,34,21148.03816334141
17554,2019-01-10,35,22650.77892804523
17555,2019-01-10,36,22730.901885253345
17556,2019-01-10,37,22665.249754214306
17557,2019-01-10,38,22665.249754214306
17558,2019-01-10,39,22595.867307094657
17559,2019-01-10,40,22552.752987541462
17560,2019-01-10,41,22623.613274497355
17561,2019-01-10,42,22569.893305680172
17562,2019-01-10,43,22064.70987786767
17563,2019-01-10,44,22064.70987786767
17564,2019-01-10,45,21361.139506407773
17565,2019-01-10,46,21361.139506407773
17566,2019-01-10,47,20041.066413437762
17567,2019-01-10,48,20041.066413437762
17568,2019-01-11,1,15539.265436635935
17569,2019-01-11,2,15539.265436635935
17570,2019-01-11,3,15006.041202173134
17571,2019-01-11,4,15006.041202173134
17572,2019-01-11,5,14753.409197558978
17573,2019-01-11,6,14753.409197558978
17574,2019-01-11,7,14753.409197558978
17575,2019-01-11,8,14753.409197558978
17576,2019-01-11,9,14753.409197558978
17577,2019-01-11,10,14753.409197558978
17578,2019-01-11,11,14931.87228039173
17579,2019-01-11,12,14931.87228039173
17580,2019-01-11,13,16931.408754572953
17581,2019-01-11,14,16931.408754572953
17582,2019-01-11,15,17402.50615421024
17583,2019-01-11,16,17704.658156412366
17584,2019-01-11,17,18533.937972415053
17585,2019-01-11,18,18719.556416125884
17586,2019-01-11,19,18942.755370071125
17587,2019-01-11,20,18942.755370071125
17588,2019-01-11,21,17883.6197860389
17589,2019-01-11,22,17883.6197860389
17590,2019-01-11,23,17310.174030561717
17591,2019-01-11,24,17310.174030561717
17592,2019-01-11,25,16669.69206573585
17593,2019-01-11,26,16669.69206573585
17594,2019-01-11,27,16669.69206573585
17595,2019-01-11,28,16669.69206573585
17596,2019-01-11,29,16669.69206573585
17597,2019-01-11,30,16669.69206573585
17598,2019-01-11,31,16741.087232462723
17599,2019-01-11,32,16741.087232462723
17600,2019-01-11,33,17168.655783303588
17601,2019-01-11,34,17168.655783303588
17602,2019-01-11,35,18154.715759211576
17603,2019-01-11,36,18154.715759211576
17604,2019-01-11,37,18036.163998007498
17605,2019-01-11,38,18036.163998007498
17606,2019-01-11,39,18416.283865276542
17607,2019-01-11,40,18336.851171810402
17608,2019-01-11,41,18463.384655706795
17609,2019-01-11,42,18463.384655706795
17610,2019-01-11,43,18175.890399286585
17611,2019-01-11,44,18175.890399286585
17612,2019-01-11,45,17496.631668337504
17613,2019-01-11,46,17496.631668337504
17614,2019-01-11,47,17008.66593744118
17615,2019-01-11,48,17008.66593744118
17616,2019-01-12,1,15372.509268703912
17617,2019-01-12,2,15372.509268703912
17618,2019-01-12,3,14742.832508266012
17619,2019-01-12,4,14688.889230998871
17620,2019-01-12,5,14569.202690473849
17621,2019-01-12,6,14569.202690473849
17622,2019-01-12,7,14569.202690473849
17623,2019-01-12,8,14569.202690473849
17624,2019-01-12,9,14647.042511392008
17625,2019-01-12,10,14647.042511392008
17626,2019-01-12,11,14756.665845970978
17627,2019-01-12,12,14756.665845970978
17628,2019-01-12,13,16991.27966567885
17629,2019-01-12,14,16991.27966567885
17630,2019-01-12,15,18351.562623461825
17631,2019-01-12,16,18455.458092822373
17632,2019-01-12,17,19814.680919899398
17633,2019-01-12,18,19763.513228161504
17634,2019-01-12,19,21171.325753798305
17635,2019-01-12,20,21198.160191634717
17636,2019-01-12,21,21259.21667364985
17637,2019-01-12,22,21259.21667364985
17638,2019-01-12,23,21259.21667364985
17639,2019-01-12,24,21259.21667364985
17640,2019-01-12,25,21118.981004574485
17641,2019-01-12,26,21118.981004574485
17642,2019-01-12,27,20152.742887360717
17643,2019-01-12,28,20152.742887360717
17644,2019-01-12,29,20152.742887360717
17645,2019-01-12,30,20152.742887360717
17646,2019-01-12,31,20170.471617582567
17647,2019-01-12,32,20170.471617582567
17648,2019-01-12,33,20333.95374918661
17649,2019-01-12,34,20634.410620152834
17650,2019-01-12,35,20753.049668475775
17651,2019-01-12,36,20753.049668475775
